page,title,updated,pre_count
tables/2022f.html,World Cup 2022,2022-12-20,1
tables/2022q.html,World Cup 2022 Qualifying,2024-02-19,6
tablesi/intconcup.html,Intercontinental Championship and FIFA Confederations Cup,2022-06-09,12
tablesw/wwc2023f.html,Women's World Cup 2023 (Australia and New Zealand),2023-08-20,2
tables/2024e.html,European Championship 2024,2024-10-28,12
tables/2025uefanl.html,UEFA Nations League 2024/25,2026-01-23,5
tablese/eur-women2025.html,European Women Championship 2025,2025-08-08,6
tables/2025wuefanl.html,UEFA Women's Nations League 2025,2026-01-08,5
tables/2024sa.html,Copa América 2024,2024-07-24,1
tables/2025gc.html,"CONCACAF Championship, Gold Cup 2025",2025-07-07,1
tables/2025concanl.html,CONCACAF Nations League 2024-25,2025-04-01,5
tables/2025a.html,African Nations Cup 2025/26,2026-03-19,2
tables/2024anch.html,African Nations Championship 2024/25,2025-09-04,1
tables/2023asch.html,Asian Nations Cup 2024,2024-02-19,2
tables/2024oc.html,Oceanian Nations Cup 2024,2024-07-09,1
tablesf/fifa-icc2025.html,FIFA Intercontinental Cup 2025,2026-01-08,1
tablesf/fifa-wcc2025.html,FIFA Club World Cup 2025,2026-01-08,1
tablesc/cacups2026.html,Central American Club Competitions 2025/26,2026-03-03,2
tablesa/afcup2023.html,African Club Competitions 2022/23,2023-09-19,3
tablesa/ascup2022.html,Asian Club Competitions 2022/23,2023-05-06,2
