page,title,updated,pre_count,h_count,hr_count,aname_count
tablesu/usa96.html,USA 1996,2004-08-07,1,-/2/-/-/-/-,1,1
tablesu/usa97.html,USA 1997,2003-10-25,1,-/2/-/-/-/-,1,1
tablesu/usa98.html,USA 1998,2003-10-25,1,-/2/-/-/-/-,1,1
tablesu/usa99.html,USA 1999,2003-01-11,1,-/2/-/-/-/-,1,1
tablesu/usa00.html,USA 2000,2003-01-11,1,-/2/-/-/-/-,1,1
tablesu/usa01.html,USA 2001,2003-01-11,1,-/2/-/-/-/-,1,1
tablesu/usa02.html,USA 2002,2019-09-11,1,-/2/-/-/-/-,2,2
tablesu/usa03.html,USA 2003,2019-09-11,1,-/2/-/-/-/-,2,2
tablesu/usa04.html,USA 2004,2019-09-11,1,-/2/-/-/-/-,4,2
tablesu/usa05.html,USA 2005,2019-09-11,1,-/2/-/-/-/-,3,2
tablesu/usa06.html,USA 2006,2019-09-11,1,-/2/-/-/-/-,3,2
tablesu/usa07.html,USA 2007,2019-09-11,1,-/2/-/-/-/-,3,2
tablesu/usa08.html,USA 2008,2010-05-07,1,-/2/-/-/-/-,2,1
tablesu/usa09.html,USA 2009,2010-05-07,1,-/2/-/-/-/-,2,1
tablesu/usa2010.html,USA 2010,2023-12-24,10,-/2/-/10/-/-,13,17
tablesu/usa2011.html,USA 2011,2023-12-24,2,-/2/-/2/-/-,5,11
tablesu/usa2012.html,USA 2012,2013-03-14,2,-/2/-/2/-/-,5,11
tablesu/usa2013.html,USA 2013,2021-02-25,2,-/2/-/2/-/-,5,11
tablesu/usa2014.html,USA 2014,2015-07-16,2,-/2/-/2/-/-,5,11
tablesu/usa2015.html,USA 2015,2016-03-10,2,-/2/-/2/-/-,5,5
tablesu/usa2016.html,USA 2016,2020-01-10,2,-/2/-/2/-/-,5,5
tablesu/usa2017.html,USA 2017,2020-01-10,2,-/2/-/2/-/-,5,5
tablesu/usa2018.html,USA 2018,2020-01-10,2,-/2/-/2/-/-,5,5
tablesu/usa2019.html,USA 2019,2020-03-12,2,-/2/-/2/-/-,5,7
tablesu/usa2020.html,USA 2020,2021-05-12,1,-/2/-/1/-/-,4,9
tablesu/usa2021.html,USA 2021,2022-06-30,1,-/2/-/1/-/-,4,6
tablesu/usa2022.html,USA 2022,2024-12-06,2,-/2/-/2/-/-,5,7
tablesu/usa2023.html,USA 2023,2024-12-06,2,-/2/-/2/-/-,5,9
tablesu/usa2024.html,USA 2024,2025-12-07,2,-/2/-/2/-/-,5,9
tablesu/usa2025.html,USA 2025,2025-12-07,2,-/2/-/2/-/-,5,9
